no,a2,a3,a4,a5,a6,a7,v1_1,v1_2,v1_3,v1_4,v1_5,v1_o,v2,v3,v4_1,v4_2,v4_3,v4_o,v5_1,v5_2,v5_3,v5_4,v5_5,v5_6,v5_o,v6_1,v6_2,v6_3,v6_4,v6_o,v7,v8_1,v8_2,v8_3,v8_4,v8_5,v8_o,v9_1,v9_2,v9_3,v9_o,v10_1,v10_2,v10_3,v10_4,v10_5,v10_o,v11,v12_1,v12_2,v12_3,v12_4,v12_o,v13_1,v13_2,v13_3,v13_4,v13_o,v14_1,v14_2,v14_3,v14_4,v14_5,v14_6,v14_o,v15_1,v15_2,v15_3,v15_4,v15_5,v15_6,v15_o
304,2,2,3,5,2,2,1,2,7, , , ,2, , , , , ,2,3,6, , , , ,1,2,6, , ,3, , , , , , , , , , ,1,2,5, , , ,6,3,4,6, , ,1,2,5, , ,1,2,5, , , , ,1,2,4, , , , 
358,2,2,3,5,1,2,1,3,7, , , ,1,5,1,2,4, ,1,2, , , , , ,1,2,3, , ,3, , , , , , , , , , ,1,3, , , , ,4,3,4, , , ,1,2, , , ,2,4, , , , , ,1,2,3, , , , 
368,2,2,3,5,3,2,1,2, , , , ,2, , , , , ,1,4,5, , , , ,1,2, , , ,3, , , , , , , , , , ,1,2,3, , , ,6,2,3,6, , ,1,3, , , ,1,2,3, , , , ,1,3,5, , , , 
377,2,2,2,9,1,2,1,2,3, , , ,2, , , , , ,1,4,5, , , , ,1,2,3, , ,4,2,3, , , , ,2,4, , ,1,3, , , , ,5,2,3, , , ,7, , , ,以上皆是。,1,4,5, , , , ,8, , , , , ,以上皆是。
431,2,2,3,18,1,2,1,2,6, , , ,2, , , , , ,1,5, , , , , ,1, , , , ,4,1,4,5, , , ,1,2,4, ,1,2,5, , , ,5,1,2, , , ,1,3,4, , ,1,2,4, , , , ,2,3,4, , , , 
461,2,2,3,13,1,2,2,7, , , , ,2, , , , , ,1,2,6, , , , ,1,2, , , ,3, , , , , , , , , , ,1,3, , , , ,3,4, , , , ,2,3, , , ,1,2, , , , , ,1,2,6, , , , 
470,2,2,3,8,3,2,1,6,7, , , ,1,8,7, , ,沒有以上問題。,1,2,4, , , , ,1, , , , ,3, , , , , , , , , , ,1,3,4, , , ,7,1,5, , , ,1,2, , , ,1,2,5, , , , ,1,4, , , , , 
498,2,2,3,3,1,2,1,2,7, , , ,2, , , , , ,1,2,3, , , , ,1,3,5, , ,4,1,4,5, , , ,1,2,5, ,1,3, , , , ,6,1,4, , , ,1,2, , , ,1,2,3, , , , ,1,2,4, , , , 
570,2,2,3,9,2,2,1,2, , , , ,1,3,1,2,4, ,5,6, , , , , ,1,2, , , ,4,13, , , , ,以上皆非,1,2, , ,1, , , , , ,3,3, , , , ,1, , , , ,3, , , , , , ,1, , , , , , 
594,2,1,1,16,1,2,1,3,4, , , ,1,6,4,5, , ,3,4,5, , , , ,1,2, , , ,3, , , , , , , , , , ,1,3,4, , , ,4,3, , , , ,1,3,5, , ,2,5, , , , , ,1,2,3, , , , 
600,2,3,3,5,3,2,7, , , , , ,1,5,1,2,3, ,2,4, , , , , ,1,3,5, , ,2, , , , , , , , , , ,1,2, , , , ,8,3, , , , ,2, , , , ,1,6, , , , , ,2,3, , , , , 
660,2,2,3,3,3,2,1,2, , , , ,1,7,1,4, , ,1,4, , , , , ,1, , , , ,3, , , , , , , , , , ,1,5, , , , ,5,2, , , , ,5, , , , ,2,4, , , , , ,1,3,4, , , , 
738,2,2,3,16,2,2,1,2,4, , , ,1,6,1,5, , ,2,4,5, , , , ,1,2,4, , ,3, , , , , , , , , , ,1,4,5, , , ,5,3,4, , , ,1,4, , , ,1,2,4, , , , ,1,5,6, , , , 
239,2,3,3,9,3,3,1,3,6, , , ,2, , , , , ,4, , , , , , ,1, , , , ,3, , , , , , , , , , ,1,2,3, , , ,6,1,2,4, , ,1,2, , , ,1,2, , , , , ,1,2,4, , , , 
274,2,3,3,4,3,3,1,2,7, , , ,1,7,1, , , ,1,2,6, , , , ,1,2,6, , ,3, , , , , , , , , , ,1,2,4, , , ,8,1,2, , , ,1,2,5, , ,2,4, , , , , ,1,2,5, , , , 
296,2,2,3,5,3,3,3,4,7, , , ,2, , , , , ,4,6, , , , , ,1,2,3, , ,4,1,5,6, , , ,1,4,5, ,1,2,5, , , ,5,3,5,6, , ,1,2, , , ,1,2,6, , , , ,3,5,6, , , , 
317,2,2,3,3,2,3,1,3,7, , , ,2, , , , , ,1,2,4, , , , ,1,4,6, , ,3, , , , , , , , , , ,1,3,4, , , ,6,2,3,6, , ,1,2, , , ,1,2,6, , , , ,1,4,6, , , , 
351,2,2,1,16,3,3,1,7, , , , ,1,7,3,5, , ,1,6, , , , , ,1, , , , ,3, , , , , , , , , , ,1,5, , , , ,6,2,4,5, , ,1,2, , , ,1,2,4, , , , ,1,2,6, , , , 
386,2,3,3,5,3,3,1,7, , , , ,2, , , , , ,1,4,5, , , , ,1,3,6, , ,3, , , , , , , , , , ,1,3, , , , ,7,1,3,6, , ,1,2,5, , ,1,2,4, , , , ,1,3, , , , , 
444,2,2,1,13,1,3,1,2,3, , , ,2, , , , , ,1,2,6, , , , ,1,3,6, , ,3, , , , , , , , , , ,1,2,5, , , ,5,3, , , , ,1,2, , , ,1,4, , , , , ,1,4, , , , , 
479,2,3,3,14,2,3,1,4,5, , , ,2, , , , , ,1,2,4, , , , ,1,4,6, , ,4,7, , , , , ,1,5, , ,1,3,5, , , ,7,2, , , , ,1, , , , ,1,2,4, , , , ,1,3,5, , , , 
486,2,2,3,18,1,3,2,3,4,5,7, ,2, , , , , ,2,4,5, , , , ,1,2,6, , ,4,1,3,4,5,7, ,1,2,4, ,1,2,3,4,5, ,6,1,2,5,6, ,1,2, , , ,2, , , , , , ,1,2, , , , , 
517,2,2,3,2,3,3,6,7, , , , ,1,3,1,2,3, ,1,4, , , , , ,1, , , ,這社會很黑暗很恐怖,4,1,4,5,7, , ,1, , , ,1,2,3,4,5, ,5,1,2,5, , ,1,2,5, , ,1,4,5, , , , ,1,4,5, , , , 
551,2,2,3,14,2,3,1,7, , , , ,2, , , , , ,3,4,6, , , , ,1,2,6, , ,4,1,4,7, , , ,1, , , ,1,5, , , , ,4,1,2, , , ,1,2,5, , ,1,2,3, , , , ,1,2,5, , , , 
644,2,3,3,3,2,3,3, , , , , ,2, , , , , ,8, , , , , , ,1,2, , , ,5,1,4,5, , , ,1,4,5, ,1,2,3, , , ,5,1, , , , ,5, , , , ,1, , , , , , ,1,2, , , , , 
791,2,3,3,3,2,3,1,2,3, , , ,2, , , , , ,1,2,5, , , , ,1,2,3, , ,3, , , , , , , , , , ,1,3,5, , , ,6,2,3, , , ,1,2, , , ,1,2,3, , , , ,1,3,4, , , , 
859,2,3,3,1,3,3,3,7, , , , ,1,7,2,4, , ,1,2, , , , , ,1,6, , , ,4,1,4, , , , ,1,4, , ,1, , , , , ,7,7, , , ,自己準備好就好了。,2, , , , ,1,2,4, , , , ,1,2,4, , , , 
874,2,3,3,1,3,3,1,2,8, , , ,1,7,4, , , ,1,2,4, , , , ,1,2,3, , ,4,2,3,4, , , ,1, , , ,1,3,4, , , ,8,4, , , , ,2, , , , ,2, , , , , , ,1,2,3, , , , 
995,2,2,2,5,1,3,3,4,5, , , ,2, , , , , ,1,2,4, , , , ,1,3, , , ,3, , , , , , , , , , ,1,3,4, , , ,5,1,2,6, , ,1,2,3, , ,1,2,6, , , , ,1,2,4, , , , 
1001,2,2,3,5,3,3,2, , , , , ,2, , , , , ,1,2,5, , , , ,1,3, , , ,3, , , , , , , , , , ,1,2,3, , , ,7,2,5,6, , ,1,2,5, , ,1,2,5, , , , ,1,2,6, , , , 
1011,2,2,3,9,3,3,1,2, , , , ,1,7,1,2, , ,2,4, , , , , ,1, , , , ,4,4,6, , , , ,2,4, , ,1,5, , , , ,6,3,6, , , ,1,5, , , ,1,5, , , , , ,1,2, , , , , 
1034,2,2,3,9,1,3,7, , , , , ,1,7,1, , , ,1,6, , , , , ,1,2,3, , ,3, , , , , , , , , , ,1,2, , , , ,7,3, , , , ,1, , , , ,2,6, , , , , ,1,2, , , , , 
1053,2,3,3,8,3,3,2,4, , , , ,1,7,4, , , ,2,5,6, , , , ,1,4,6, , ,4,4,6, , , , ,2,3, , ,1,4,5, , , ,8,1,2,6, , ,2,3, , , ,1,4,5, , , , ,2,4,6, , , , 
1075,2,2,3,1,3,3,7, , , , , ,1,5,1, , , ,6, , , , , , ,1, , , , ,4,1, , , , , ,1,2,5, ,1,2,5, , , ,5,1, , , , ,1, , , , ,1,2,4, , , , ,1,3,5, , , , 
1087,2,1,1,14,1,3,5,7, , , , ,2, , , , , ,5,6, , , , , ,1,2,3, , ,3, , , , , , , , , , ,1,2, , , , ,5,1,5, , , ,1,2, , , ,1,3,4, , , , ,1,4,6, , , , 
503,2,3,3,16,3,4,2,3,4, , , ,1,6,4,5, , ,2,4,6, , , , ,1,3,6, , ,4,1,4,7, , , ,2,4,5, ,1,4,5, , , ,5,3,5,6, , ,1,2,3, , ,1,4,5, , , , ,1,2,6, , , , 
524,2,2,3,18,2,4,3,4,5,7, , ,2, , , , , ,2,5,6, , , , ,1,2,3, , ,5,1,4,5, , , ,1,2,5, ,1,3,5, , , ,4,1,4,5, , ,1,2,3, , ,1,3,5, , , , ,2,4,6, , , , 
531,2,2,3,13,1,4,3,7, , , , ,1,9,1,5, , ,1,5, , , , , ,1, , , , ,3, , , , , , , , , , ,1,3,4, , , ,5,2,4,5, , ,2, , , , ,1,2,5, , , , ,1,3,6, , , , 
347,1,2,3,17,2,1,1,3, , , , ,1,6,1,2, , ,1,6, , , , , ,2, , , , ,3, , , , , , , , , , ,1,2,3,4, , ,7,1, , , , ,1, , , , ,2,6, , , , , ,2, , , , , , 
555,1,3,4,11,3,1,1, , , , , ,1,10,1, , , ,1,2,4, , , , ,2, , , , ,2, , , , , , , , , , ,1,3, , , , ,8,3, , , , ,1,2,5, , ,1,3, , , , , ,1, , , , , , 
657,1,3,3,11,3,1,1,2,3, , , ,2, , , , , ,6, , , , , , ,2, , , , ,4,1,2, , , , ,1,2, , ,1,4, , , , ,6,1,2, , , ,1,2,3, , ,1,2, , , , , ,1,2,3,4, , , 
854,1,2,3,11,1,1,3,4,7, , , ,1,8,1,2,5, ,2,5,6, , , , ,2,6, , , ,3, , , , , , , , , , ,1,2,3, , , ,7,3, , , , ,1,2,4, , ,1,4,5, , , , ,2,3,6, , , , 
1089,1,2,1,10,3,1,1,3,6, , , ,2, , , , , ,1,3,4, , , , ,2,5, , , ,3, , , , , , , , , , ,1, , , , , ,5,3, , , , ,1,5, , , ,1,5, , , , , ,2,4,6, , , , 
75,1,3,3,11,3,2,1,3,7, , , ,2, , , , , ,1,2,6, , , , ,2,6, , , ,3, , , , , , , , , , ,1,5, , , , ,5,2,3,6, , ,1,2, , , ,2,5,7, , , , ,1,5, , , , , 
294,1,3,4,8,1,2,4,6,7, , , ,1,7,2,4, , ,1,4,6, , , , ,2,3, , , ,3, , , , , , , , , , ,1,5, , , , ,6,1,4, , , ,1,2, , , ,1, , , , , , ,1,3, , , , , 
435,1,3,4,8,3,2,3,6,7, , , ,1,6,1,2,3, ,3,4,6, , , , ,2,3,4, , ,4,2,5,7, , , ,1,2,5, ,1,2,3, , , ,8,2, , , , ,1,2, , , ,1,2,3, , , , ,1,2,3, , , , 
500,1,3,4,9,1,2,2,3,7, , , ,2, , , , , ,3,4,6, , , , ,2,3,6, , ,4,3,4,5, , , ,2,4, , ,1,3,4, , , ,7,2,3,4, , ,1,2,3, , ,1,4,7, , , , ,1,2,5, , , , 
165,1,1,1,18,1,3,1,3,7, , , ,2, , , , , ,1,2,3, , , , ,2, , , , ,4,6, , , , , ,4, , , ,1, , , , , ,6,3, , , , ,1,2, , , ,10, , , , , ,會因為興趣找工作，剩下的條件不重要。,2, , , , , , 
603,1,2,1,11,3,3,1, , , , , ,2, , , , , ,4, , , , , , ,2, , , , ,1, , , , , , , , , , ,1, , , , , ,5,5, , , , ,1, , , , ,4, , , , , , ,4, , , , , , 
672,1,3,3,5,3,3,4,7, , , , ,1,8,1,3, , ,2, , , , , , ,2, , , , ,2, , , , , , , , , , ,1,3, , , , ,7,2, , , , ,1, , , , ,2,7, , , , , ,5,6, , , , , 
685,1,2,3,5,1,3,2,3,4, , , ,1,6,1, , , ,1,2,4, , , , ,2, , , , ,3, , , , , , , , , , ,1,2,5, , , ,6,1,2,3, , ,1,2,5, , ,1,4,5, , , , ,1,3,5, , , , 
850,1,3,3,11,2,3,3,7, , , , ,2, , , , , ,1,2,3, , , , ,2,4, , , ,3, , , , , , , , , , ,1,2,3, , , ,3,1,2, , , ,1,2, , , ,1,5,7, , , , ,1, , , , , , 
957,1,3,3,2,2,3,3,6,7, , , ,1,5,1,4, , ,1,2,6, , , , ,2,4,6, , ,4,1,4,7, , , ,1,4,5, ,1,2,3, , , ,5,4,5, , , ,1,2,5, , ,1,2,4, , , , ,1,2,4, , , , 
556,2,2,3,5,1,1,3, , , , , ,2, , , , , ,4, , , , , , ,2,3,5, , ,4,1,4, , , , ,1,2,4, ,1,2,4, , , ,5,1,4,5, , ,1,5, , , ,1,2,4, , , , ,1,2,3, , , , 
707,2,3,3,5,3,1,2, , , , , ,1,7,1,2,4, ,4,6, , , , , ,2,3,5, , ,5,1,2,3, , , ,1,2, , ,1,2,3, , , ,8,1,2,3, , ,1,2,3, , ,1,2,3, , , , ,1,2,3, , , , 
743,2,2,1,18,2,1,10, , , , ,沒意見,2, , , , , ,5, , , , , , ,2, , , , ,3, , , , , , , , , , ,1, , , , , ,5,5, , , , ,1,2,3, , ,1, , , , , , ,2, , , , , , 
923,2,2,2,9,2,1,1,3,7, , , ,1,7,1, , , ,1,2,4, , , , ,2,3,5, , ,3, , , , , , , , , , ,1,3, , , , ,5,3,4, , , ,1,2, , , ,1,4,5, , , , ,1,2,3, , , , 
929,2,2,3,5,1,1,2,3, , , , ,1,7,1, , , ,1,2,4, , , , ,2, , , , ,3, , , , , , , , , , ,1,2,3, , , ,6,2,3, , , ,1,2, , , ,2,6,7, , , , ,1,3, , , , , 
52,2,3,3,9,1,2,3,6, , , , ,2, , , , , ,1,4, , , , , ,2,6, , , ,4,1,3,5, , , ,1,2, , ,1,3,5, , , ,7,3,4,6, , ,1,2,3, , ,1,2,5, , , , ,1,2,4, , , , 
65,2,2,3,18,2,2,1,7, , , , ,2, , , , , ,2,3,6, , , , ,2,4, , , ,4,1,4, , , , ,1,4,5, ,1,4,5, , , ,6,1,2,3, , ,1,2,4, , ,1,2,7, , , , ,1,2,4, , , , 
110,2,2,3,11,1,2,3,7, , , , ,2, , , , , ,1,2,6, , , , ,2,3, , , ,4,1,5,6, , , ,1,5, , ,1,2, , , , ,7,1,6, , , ,1,4, , , ,1,4, , , , , ,1,2, , , , , 
188,2,2,3,5,2,2,1,2,3, , , ,1,5,1,2,4, ,1,4,6, , , , ,2,3,6, , ,4,1,4, , , , ,1,2, , ,1,2,4, , , ,5,1,2, , , ,1,2, , , ,1,2,5, , , , ,3,4, , , , , 
203,2,2,3,3,2,2,4,7, , , , ,1,5,3,5, , ,1,2,6, , , , ,2,3,5, , ,3, , , , , , , , , , ,1,5, , , , ,5,1,4, , , ,1,2,4, , ,1,2,5, , , , ,1,2,6, , , , 
218,2,2,3,14,2,2,1,6, , , , ,1,7,3, , ,上班休假不足,1,2,5, , , , ,2, , , , ,3, , , , , , , , , , ,1,2,4, , , ,6,3,4,5, , ,1,3,5, , ,1,3,4, , , , ,1,2,3, , , , 
265,2,2,3,3,2,2,1,2,7, , , ,1,7,1,2, , ,1,5,6, , , , ,2,3, , , ,3, , , , , , , , , , ,1,2,4, , , ,6,1,2,4, , ,3, , , , ,1,4, , , , , ,1,2,5, , , , 
281,2,2,3,3,3,2,1,2,7, , , ,1,6,1,5, , ,1,2,4, , , , ,2,5, , , ,4,1,2,5, , , ,1,3,4, ,1,2,5, , , ,5,2,3,4, , ,2, , , , ,1,2, , , , , ,1,4,5, , , , 
292,2,1,1,14,2,2,1,2,4, , , ,1,5,1,2, , ,2, , , , , , ,2, , , , ,4,4, , , , , ,1, , , ,1, , , , , ,7,4, , , , ,2, , , , ,2, , , , , , ,1, , , , , , 
293,2,2,3,5,2,2,1,3,7, , , ,1,7,1,5, , ,1,2,6, , , , ,2,4, , , ,3, , , , , , , , , , ,1,2, , , , ,7,1,2,5, , ,1,2, , , ,2,3, , , , , ,1,2,5, , , , 
313,2,2,3,5,2,2,1,7, , , , ,2, , , , , ,1,2,5, , , , ,2,3,5, , ,4,4, , , , , ,2,4, , ,1,2,5, , , ,5,2,3,6, , ,1,2,3, , ,1,2,4, , , , ,2,3,4, , , , 
380,2,2,3,2,2,2,1,2,3, , , ,1,5,2, , , ,1,5, , , , , ,2,3, , , ,3, , , , , , , , , , ,1,4, , , , ,6,1,3,4, , ,1,3, , , ,2,4, , , , , ,1,5, , , , , 
528,2,2,1,14,3,2,1,2,4, , , ,1,6,1,3,4, ,1,2,4, , , , ,2,3, , , ,3, , , , , , , , , , ,1,2, , , , ,5,4,5,6, , ,1,5, , , ,1,4,5, , , , ,1,4,5, , , , 
612,2,1,1,5,1,2,1,3, , , , ,1,7,4,5, , ,2,6, , , , , ,2,5, , , ,2, , , , , , , , , , ,1,2, , , , ,6,1,2,3, , ,1,2, , , ,2,3,5, , , , ,1,2,3, , , , 
156,2,2,3,16,2,3,2,4, , , , ,1,8,1, , , ,1,2,4, , , , ,2,4, , , ,3, , , , , , , , , , ,1,3,5, , , ,7,3,6, , , ,1,2, , , ,1,2,4, , , , ,1,2, , , , , 
210,2,3,3,3,2,3,2,7, , , , ,1,8,7, , ,都沒有,1,2,4, , , , ,2, , , , ,4,1, , , , , ,1,5, , ,1,2,3, , , ,5,9, , , ,都沒有,1, , , , ,1,2, , , , , ,1,2,3, , , , 
230,2,2,3,11,3,3,1,2,6, , , ,1,6,4, , , ,1,2,5, , , , ,2,4,5, , ,4,1,7, , , , ,4,5, , ,1,2,3, , , ,7,2,3, , , ,1,4,5, , ,1,2,6, , , , ,3,4,5, , , , 
287,2,1,1,16,1,3,1,3,7, , , ,1,7,5, , , ,1,2,4, , , , ,2,3, , , ,3, , , , , , , , , , ,1,3, , , , ,7,3,6, , , ,3, , , , ,1,7, , , , , ,1,3, , , , , 
301,2,1,1,16,1,3,5, , , , , ,1,10,7, , ,沒有,1,5, , , , , ,2,3, , , ,1, , , , , , , , , , ,1,3, , , , ,5,1, , , , ,1,3,5, , ,1,2,5, , , , ,1,2,3, , , , 
308,2,2,3,16,2,3,1,7, , , , ,2, , , , , ,1,2, , , , , ,2,3, , , ,2, , , , , , , , , , ,1,4, , , , ,6,3,4, , , ,2,5, , , ,4,5, , , , , ,2,3, , , , , 
333,2,3,3,5,3,3,1,7, , , , ,1,5,1, , , ,3,4,6, , , , ,2,3,5, , ,4,1,5,7, , , ,2,3,5, ,1,2,5, , , ,4,1,2,6, , ,3,5, , , ,3,4,5, , , , ,1,2, , , , , 
392,2,2,3,5,2,3,1,7, , , , ,1,7,1,4, , ,2,4,6, , , , ,2, , , , ,3, , , , , , , , , , ,1,3,5, , , ,6,3,6, , , ,1,2,3, , ,1,3,5, , , , ,2,3,4, , , , 
468,2,2,3,2,2,3,4,6,7, , , ,1,7,1, , , ,2,4,6, , , , ,2,4, , , ,3, , , , , , , , , , ,1,2,3, , , ,6,1,3,6, , ,1,2,5, , ,1,2,5, , , , ,1,2,4, , , , 
880,2,3,3,5,3,3,7, , , , , ,2, , , , , ,6, , , , , , ,2,3, , , ,4,3,4,5, , , ,5, , , ,1,3, , , , ,5,1,2,6, , ,1,2, , , ,1,2,5, , , , ,2,3,6, , , , 
989,2,2,3,16,3,3,1,2, , , , ,2, , , , , ,5, , , , , , ,2,5, , , ,4,1,3,4, , , ,1,2,3, ,1,2,3, , , ,8,3,4,5, , ,1,2,3, , ,1,2,3, , , , ,1,2,3, , , , 
483,2,2,3,5,1,4,3,4,7, , , ,2, , , , , ,1,2,6, , , , ,2,3,6, , ,4,1,4,6, , , ,1,2,3, ,1,2,3, , , ,7,1,2,4, , ,2,3,4, , ,1,2,3, , , , ,2,3,6, , , , 
9,1,2,3,16,2,1,3, , , , , ,1,4,2, , , ,1, , , , , , ,3, , , , ,3, , , , , , , , , , ,1, , , , , ,3,3, , , , ,2, , , , ,1,5, , , , , ,2,3,4, , , , 
267,1,3,3,11,2,1,1,3,5, , , ,1,9,1,2,3, ,5, , , , , , ,3, , , , ,2, , , , , , , , , , ,1,3,5, , , ,10,1, , , , ,1,2,3, , ,2,3,5, , , , ,3,4,5, , , , 
331,1,3,3,7,3,1,1,2, , , , ,1,7,1, , , ,2, , , , , , ,3, , , , ,4,1, , , , , ,1, , , ,1,4, , , , ,6,1, , , , ,1, , , , ,2,3, , , , , ,2, , , , , , 
518,1,2,3,11,1,1,3,4,7, , , ,2, , , , , ,1,4,6, , , , ,3,4,6, , ,4,1, , , , , ,4, , , ,1,4, , , , ,6,2,3, , , ,1,2, , , ,1,2,4, , , , ,1,4, , , , , 
568,1,3,3,4,3,1,1,3,7, , , ,1,7,1,3, , ,2,4,6, , , , ,3, , , , ,3, , , , , , , , , , ,1,2,3, , , ,7,2,4, , , ,1,2, , , ,3,5,6, , , , ,3,5, , , , , 
714,1,3,4,11,3,1,7, , , , , ,1,7,2,4, , ,1,6, , , , , ,3, , , , ,3, , , , , , , , , , ,1,3,4, , , ,5,1,3, , , ,1,3, , , ,3,4,6, , , , ,1,4,6, , , , 
763,1,2,3,4,2,1,2,4, , , , ,1,8,2, , , ,2,3,6, , , , ,3,4, , , ,2, , , , , , , , , , ,1,2,3,4, , ,6,3, , , , ,3, , , , ,6, , , , , , ,1, , , , , , 
873,1,3,3,11,3,1,2,3,7, , , ,1,5,1,2, , ,4, , , , , , ,3, , , , ,3, , , , , , , , , , ,1,5, , , , ,4,2, , , , ,1,2, , , ,1,2,5, , , , ,1,2,5, , , , 
936,1,2,3,11,3,1,3,7, , , , ,1,6,1,2,3, ,1,2, , , , , ,3,5, , , ,4,1,4,5,7, , ,1,4, , ,1,2,3,4,5, ,6,3, , , , ,1,2, , , ,1,2,3,4,5,7, ,1,2,3,4,5,6, 
19,1,2,3,16,3,2,1, , , , , ,1,8,1,2, , ,1,2,6, , , , ,3, , , , ,4,8, , , , ,怕賺太少錢無法成家立業,1,2, , ,1,2,3, , , ,8,2, , , , ,1,2, , , ,2,4, , , , , ,3,5, , , , , 
283,1,3,4,11,3,2,3,6,7, , , ,1,8,1,2,3, ,1,4,6, , , , ,3, , , , ,3, , , , , , , , , , ,1,4,5, , , ,7,1, , , , ,1,2,4, , ,2,3,5, , , , ,1,3,4, , , , 
428,1,2,3,8,1,2,1,2,3, , , ,2, , , , , ,8, , , , , , ,3, , , , ,3, , , , , , , , , , ,1,3,5, , , ,5,1, , , , ,1, , , , ,1,2,4, , , , ,1,2,5, , , , 
184,1,3,3,11,3,3,7, , , , , ,1,6,1, , , ,4,6, , , , , ,3,6, , , ,3, , , , , , , , , , ,1,2,5, , , ,7,1,3, , , ,1,2, , , ,2, , , , , , ,1,2, , , , , 
593,1,2,1,8,3,3,1,5,7, , , ,1,6,1,2, , ,2,4,5, , , , ,3,4,5, , ,3, , , , , , , , , , ,1,3,5, , , ,5,1,3,5, , ,1,2,4, , ,1,3,4, , , , ,2,3,4, , , , 
629,1,1,3,5,1,3,1,2, , , , ,2, , , , , ,1,2,4, , , , ,3,4, , , ,3, , , , , , , , , , ,1,3,5, , , ,7,2,3, , , ,1,2, , , ,2,3,6, , , , ,2,3,5, , , , 
809,1,2,3,16,3,3,3,4,7, , , ,2, , , , , ,2,3, , , , , ,3,4, , , ,2, , , , , , , , , , ,1,3,5, , , ,7,3,4,6, , ,1,3,4, , ,1,3,5, , , , ,1,2,5, , , , 
926,1,2,3,5,3,3,1,7, , , , ,1,9,2,4, , ,4,5,6, , , , ,3,6, , , ,1, , , , , , , , , , ,1,3,5, , , ,10,7, , , ,常常被罵，被問候父母,1,2, , , ,1,2,7, , , , ,1,4,6, , , , 
384,2,3,3,5,2,1,2,7, , , , ,1,6,3, , , ,1,2,4, , , , ,3, , , , ,4,1,4,5, , , ,1,5, , ,1,2,3, , , ,6,3,4,6, , ,1,2,3, , ,1,2,3, , , , ,1,3,4, , , , 
596,2,3,3,18,3,1,1,3,7, , , ,2, , , , , ,7, , , , , , ,3,4,5, , ,3, , , , , , , , , , ,1,2,4, , , ,4,2,4, , , ,1,2,4, , ,1,4,6, , , , ,4,5,6, , , , 
723,2,3,3,18,2,1,6,7, , , , ,1,7,2,3,5, ,1,2,4, , , , ,3,4,5, , ,3, , , , , , , , , , ,1,2,3, , , ,7,1,3,6, , ,1,3, , , ,1,2,3, , , , ,1,2,3, , , , 
918,2,3,3,18,3,1,2,7, , , , ,1,7,2,3, , ,1,3,4, , , , ,3,5, , , ,3, , , , , , , , , , ,1,4, , , , ,6,2,3, , , ,1,3,5, , ,1,2,4, , , , ,1,2,3, , , , 
959,2,2,3,13,2,1,1,2,3, , , ,1,5,3,4, , ,7, , , , , , ,3,4,6, , ,3, , , , , , , , , , ,1,2,3, , , ,5,1,2, , , ,2,3, , , ,1, , , , , , ,1,2,3, , , , 
117,2,3,3,6,3,2,3,7, , , , ,1,6,1,2, , ,1,2,6, , , , ,3, , , , ,3, , , , , , , , , , ,1,5, , , , ,6,3, , , , ,1,2,5, , ,2,5,7, , , , ,1,2,6, , , , 
599,2,2,3,11,1,2,3,7, , , , ,1,5,2,3, , ,1,2, , , , , ,3,5, , , ,3, , , , , , , , , , ,1, , , , , ,5,2, , , , ,5, , , , ,1,4, , , , , ,2,6, , , , , 
330,2,3,3,16,3,3,1, , , , , ,1,10,1, , , ,1,4,5, , , , ,3, , , , ,3, , , , , , , , , , ,1,2,3, , , ,5,1,2,4, , ,1,2, , , ,1,2,4, , , , ,1,2,3, , , , 
369,2,2,3,5,3,3,1,2, , , , ,1,8,3,5, , ,1,2, , , , , ,3, , , , ,3, , , , , , , , , , ,1,4,5, , , ,7,3,6, , , ,1,5, , , ,1,2, , , , , ,1,2, , , , , 
389,2,3,3,9,2,3,2,7, , , , ,1,6,1,2, , ,2,4,6, , , , ,3,6, , , ,3, , , , , , , , , , ,1,3, , , , ,7,7, , , ,主管交代工作的時候,1,2, , , ,1,2, , , , , ,2,3, , , , , 
648,2,3,3,1,3,3,7, , , , , ,1,7,1,4, , ,1,6, , , , , ,3,4, , , ,4,4,5, , , , ,4,5, , ,1,2,3, , , ,7,2, , , , ,1,2,5, , ,5,6, , , , , ,1,2,4, , , , 
793,2,3,3,9,3,3,3,7, , , , ,1,7,2, , , ,1,4, , , , , ,3, , , , ,1, , , , , , , , , , ,1,2,3, , , ,6,3,6, , , ,1,2, , , ,1,2, , , , , ,1,5,6, , , , 
881,2,3,3,5,3,3,3,7, , , , ,1,6,1,2, , ,1,5,6, , , , ,3,5, , , ,3, , , , , , , , , , ,1,4, , , , ,5,3,4, , , ,2, , , , ,2,3,7, , , , ,4, , , , , , 
491,2,2,3,11,2,4,1,2,7, , , ,1,8,1,5, , ,1,2, , , , , ,3,4,5, , ,3, , , , , , , , , , ,1,2,3, , , ,8,2,3,6, , ,1,5, , , ,1,2,3, , , , ,3,4,5, , , , 
527,2,2,3,5,3,4,3, , , , , ,1,5,1,4, , ,2,4, , , , , ,3, , , , ,3, , , , , , , , , , ,1,2, , , , ,6,1,3,6, , ,1,2,3, , ,1,2,3, , , , ,1,2,6, , , , 
181,1,2,3,11,2,1,1,3,5, , , ,1,8,1, , , ,2,4,5, , , , ,4,5, , , ,3, , , , , , , , , , ,1,2,3,4,5, ,5,2,3, , , ,1,2,5, , ,3,4,5, , , , ,1,2,3,4, , , 
